 schemaname |       tablename       |                    indexname                    |                                                                                        indexdef                                                                                         
 public     | payment_confirmations | payment_confirmations_pkey                      | CREATE UNIQUE INDEX payment_confirmations_pkey ON public.payment_confirmations USING btree (id)
 public     | payment_methods       | payment_methods_code_key                        | CREATE UNIQUE INDEX payment_methods_code_key ON public.payment_methods USING btree (code)
 public     | payment_methods       | payment_methods_pkey                            | CREATE UNIQUE INDEX payment_methods_pkey ON public.payment_methods USING btree (id)
 public     | payment_requests      | idx_payment_requests_crypto                     | CREATE INDEX idx_payment_requests_crypto ON public.payment_requests USING btree (crypto_token, crypto_amount) WHERE (((status)::text = 'pending'::text) AND (crypto_token IS NOT NULL))
 public     | payment_requests      | idx_payment_requests_status                     | CREATE INDEX idx_payment_requests_status ON public.payment_requests USING btree (status) WHERE ((status)::text = 'pending'::text)
 public     | payment_requests      | idx_payment_requests_user_id                    | CREATE INDEX idx_payment_requests_user_id ON public.payment_requests USING btree (user_id, created_at DESC)
 public     | payment_requests      | payment_requests_pkey                           | CREATE UNIQUE INDEX payment_requests_pkey ON public.payment_requests USING btree (id)
 public     | payments              | idx_payments_created                            | CREATE INDEX idx_payments_created ON public.payments USING btree (created_at DESC)
 public     | payments              | idx_payments_reference                          | CREATE INDEX idx_payments_reference ON public.payments USING btree (reference_number)
 public     | payments              | idx_payments_status                             | CREATE INDEX idx_payments_status ON public.payments USING btree (status)
 public     | payments              | idx_payments_tenant_id                          | CREATE INDEX idx_payments_tenant_id ON public.payments USING btree (tenant_id)
 public     | payments              | idx_payments_transaction                        | CREATE INDEX idx_payments_transaction ON public.payments USING btree (transaction_id)
 public     | payments              | payments_pkey                                   | CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (id)
 public     | payments              | payments_reference_number_key                   | CREATE UNIQUE INDEX payments_reference_number_key ON public.payments USING btree (reference_number)
 public     | permissions           | permissions_key_key                             | CREATE UNIQUE INDEX permissions_key_key ON public.permissions USING btree (key)
 public     | permissions           | permissions_pkey                                | CREATE UNIQUE INDEX permissions_pkey ON public.permissions USING btree (id)
 public     | platform_settings     | platform_settings_pkey                          | CREATE UNIQUE INDEX platform_settings_pkey ON public.platform_settings USING btree (key)
 public     | pos_devices           | idx_pos_devices_tenant_outlet                   | CREATE INDEX idx_pos_devices_tenant_outlet ON public.pos_devices USING btree (tenant_id, outlet_id)
 public     | pos_devices           | pos_devices_pkey                                | CREATE UNIQUE INDEX pos_devices_pkey ON public.pos_devices USING btree (id)
 public     | pos_devices           | pos_devices_tenant_id_device_code_key           | CREATE UNIQUE INDEX pos_devices_tenant_id_device_code_key ON public.pos_devices USING btree (tenant_id, device_code)
 public     | products              | idx_products_barcode                            | CREATE INDEX idx_products_barcode ON public.products USING btree (barcode) WHERE (barcode IS NOT NULL)
 public     | products              | idx_products_item_type                          | CREATE INDEX idx_products_item_type ON public.products USING btree (item_type)
 public     | products              | idx_products_name_trgm                          | CREATE INDEX idx_products_name_trgm ON public.products USING gin (name gin_trgm_ops)
 public     | products              | idx_products_owner_id                           | CREATE INDEX idx_products_owner_id ON public.products USING btree (owner_id)
 public     | products              | idx_products_sku_trgm                           | CREATE INDEX idx_products_sku_trgm ON public.products USING gin (sku gin_trgm_ops)
 public     | products              | idx_products_stock_behavior                     | CREATE INDEX idx_products_stock_behavior ON public.products USING btree (stock_behavior)
 public     | products              | idx_products_tenant_id                          | CREATE INDEX idx_products_tenant_id ON public.products USING btree (tenant_id)
 public     | products              | products_pkey                                   | CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
 public     | products              | products_sku_key                                | CREATE UNIQUE INDEX products_sku_key ON public.products USING btree (sku)
 public     | products              | products_sku_owner_id_unique                    | CREATE UNIQUE INDEX products_sku_owner_id_unique ON public.products USING btree (sku, owner_id)
 public     | promotions            | idx_promotions_code                             | CREATE INDEX idx_promotions_code ON public.promotions USING btree (code)
 public     | promotions            | idx_promotions_dates                            | CREATE INDEX idx_promotions_dates ON public.promotions USING btree (start_date, end_date)
 public     | promotions            | idx_promotions_is_active                        | CREATE INDEX idx_promotions_is_active ON public.promotions USING btree (is_active)
 public     | promotions            | idx_promotions_tenant_id                        | CREATE INDEX idx_promotions_tenant_id ON public.promotions USING btree (tenant_id)
 public     | promotions            | promotions_code_key                             | CREATE UNIQUE INDEX promotions_code_key ON public.promotions USING btree (code)
 public     | promotions            | promotions_pkey                                 | CREATE UNIQUE INDEX promotions_pkey ON public.promotions USING btree (id)
 public     | qris_config           | qris_config_merchant_id_key                     | CREATE UNIQUE INDEX qris_config_merchant_id_key ON public.qris_config USING btree (merchant_id)
 public     | qris_config           | qris_config_pkey                                | CREATE UNIQUE INDEX qris_config_pkey ON public.qris_config USING btree (id)
 public     | refresh_tokens        | idx_refresh_tokens_expires_at                   | CREATE INDEX idx_refresh_tokens_expires_at ON public.refresh_tokens USING btree (expires_at)
 public     | refresh_tokens        | idx_refresh_tokens_revoked_at                   | CREATE INDEX idx_refresh_tokens_revoked_at ON public.refresh_tokens USING btree (revoked_at) WHERE (revoked_at IS NOT NULL)
 public     | refresh_tokens        | idx_refresh_tokens_token_hash                   | CREATE INDEX idx_refresh_tokens_token_hash ON public.refresh_tokens USING btree (token_hash)
 public     | refresh_tokens        | idx_refresh_tokens_used_at                      | CREATE INDEX idx_refresh_tokens_used_at ON public.refresh_tokens USING btree (used_at) WHERE (used_at IS NOT NULL)
 public     | refresh_tokens        | idx_refresh_tokens_user_id                      | CREATE INDEX idx_refresh_tokens_user_id ON public.refresh_tokens USING btree (user_id)
 public     | refresh_tokens        | refresh_tokens_pkey                             | CREATE UNIQUE INDEX refresh_tokens_pkey ON public.refresh_tokens USING btree (id)
 public     | refresh_tokens        | refresh_tokens_token_hash_key                   | CREATE UNIQUE INDEX refresh_tokens_token_hash_key ON public.refresh_tokens USING btree (token_hash)
 public     | role_permissions      | role_permissions_pkey                           | CREATE UNIQUE INDEX role_permissions_pkey ON public.role_permissions USING btree (role_id, permission_id)
 public     | roles                 | idx_roles_system_key                            | CREATE UNIQUE INDEX idx_roles_system_key ON public.roles USING btree (key) WHERE (tenant_id IS NULL)
 public     | roles                 | idx_roles_tenant_key                            | CREATE UNIQUE INDEX idx_roles_tenant_key ON public.roles USING btree (tenant_id, key) WHERE (tenant_id IS NOT NULL)
 public     | roles                 | roles_pkey                                      | CREATE UNIQUE INDEX roles_pkey ON public.roles USING btree (id)
 public     | roles                 | roles_tenant_id_key_key                         | CREATE UNIQUE INDEX roles_tenant_id_key_key ON public.roles USING btree (tenant_id, key)
 public     | shifts                | idx_shifts_cashier                              | CREATE INDEX idx_shifts_cashier ON public.shifts USING btree (cashier_user_id)
 public     | shifts                | idx_shifts_status                               | CREATE INDEX idx_shifts_status ON public.shifts USING btree (status) WHERE (status = ANY (ARRAY['open'::text, 'pending_approval'::text]))
 public     | shifts                | idx_shifts_tenant_outlet                        | CREATE INDEX idx_shifts_tenant_outlet ON public.shifts USING btree (tenant_id, outlet_id)
 public     | shifts                | shifts_pkey                                     | CREATE UNIQUE INDEX shifts_pkey ON public.shifts USING btree (id)
 public     | shifts                | uq_shift_active                                 | CREATE UNIQUE INDEX uq_shift_active ON public.shifts USING btree (cashier_user_id, outlet_id, closed_at) NULLS NOT DISTINCT
 public     | stock_alerts          | idx_stock_alerts_active                         | CREATE INDEX idx_stock_alerts_active ON public.stock_alerts USING btree (outlet_id, is_acknowledged, created_at DESC)
 public     | stock_alerts          | idx_stock_alerts_created_at                     | CREATE INDEX idx_stock_alerts_created_at ON public.stock_alerts USING btree (created_at DESC)
 public     | stock_alerts          | idx_stock_alerts_is_acknowledged                | CREATE INDEX idx_stock_alerts_is_acknowledged ON public.stock_alerts USING btree (is_acknowledged)
 public     | stock_alerts          | idx_stock_alerts_outlet_id                      | CREATE INDEX idx_stock_alerts_outlet_id ON public.stock_alerts USING btree (outlet_id)
 public     | stock_alerts          | idx_stock_alerts_product_id                     | CREATE INDEX idx_stock_alerts_product_id ON public.stock_alerts USING btree (product_id)
 public     | stock_alerts          | idx_stock_alerts_tenant_id                      | CREATE INDEX idx_stock_alerts_tenant_id ON public.stock_alerts USING btree (tenant_id)
 public     | stock_alerts          | stock_alerts_pkey                               | CREATE UNIQUE INDEX stock_alerts_pkey ON public.stock_alerts USING btree (id)
 public     | stock_movements       | idx_stock_movements_created                     | CREATE INDEX idx_stock_movements_created ON public.stock_movements USING btree (created_at DESC)
 public     | stock_movements       | idx_stock_movements_outlet                      | CREATE INDEX idx_stock_movements_outlet ON public.stock_movements USING btree (outlet_id, created_at DESC)
 public     | stock_movements       | idx_stock_movements_product                     | CREATE INDEX idx_stock_movements_product ON public.stock_movements USING btree (product_id, created_at DESC)
 public     | stock_movements       | idx_stock_movements_tenant_id                   | CREATE INDEX idx_stock_movements_tenant_id ON public.stock_movements USING btree (tenant_id)
 public     | stock_movements       | idx_stock_movements_user                        | CREATE INDEX idx_stock_movements_user ON public.stock_movements USING btree (user_id)
 public     | stock_movements       | stock_movements_pkey                            | CREATE UNIQUE INDEX stock_movements_pkey ON public.stock_movements USING btree (id)
 public     | tenants               | tenants_pkey                                    | CREATE UNIQUE INDEX tenants_pkey ON public.tenants USING btree (id)
 public     | tenants               | tenants_slug_key                                | CREATE UNIQUE INDEX tenants_slug_key ON public.tenants USING btree (slug)
 public     | transaction_approvals | idx_ta_status                                   | CREATE INDEX idx_ta_status ON public.transaction_approvals USING btree (status) WHERE (status = 'pending'::text)
 public     | transaction_approvals | idx_ta_tenant_outlet                            | CREATE INDEX idx_ta_tenant_outlet ON public.transaction_approvals USING btree (tenant_id, outlet_id)
 public     | transaction_approvals | idx_ta_transaction                              | CREATE INDEX idx_ta_transaction ON public.transaction_approvals USING btree (transaction_id)
 public     | transaction_approvals | transaction_approvals_pkey                      | CREATE UNIQUE INDEX transaction_approvals_pkey ON public.transaction_approvals USING btree (id)
 public     | transaction_items     | idx_transaction_items_product_id                | CREATE INDEX idx_transaction_items_product_id ON public.transaction_items USING btree (product_id)
 public     | transaction_items     | idx_transaction_items_tenant_id                 | CREATE INDEX idx_transaction_items_tenant_id ON public.transaction_items USING btree (tenant_id)
 public     | transaction_items     | idx_transaction_items_transaction_id            | CREATE INDEX idx_transaction_items_transaction_id ON public.transaction_items USING btree (transaction_id)
 public     | transaction_items     | transaction_items_pkey                          | CREATE UNIQUE INDEX transaction_items_pkey ON public.transaction_items USING btree (id)
 public     | transactions          | idx_transactions_cashier_id                     | CREATE INDEX idx_transactions_cashier_id ON public.transactions USING btree (cashier_id)
 public     | transactions          | idx_transactions_created_at                     | CREATE INDEX idx_transactions_created_at ON public.transactions USING btree (created_at)
 public     | transactions          | idx_transactions_device_id                      | CREATE INDEX idx_transactions_device_id ON public.transactions USING btree (device_id)
 public     | transactions          | idx_transactions_outlet_created                 | CREATE INDEX idx_transactions_outlet_created ON public.transactions USING btree (outlet_id, created_at DESC)
 public     | transactions          | idx_transactions_outlet_id                      | CREATE INDEX idx_transactions_outlet_id ON public.transactions USING btree (outlet_id)
 public     | transactions          | idx_transactions_shift_id                       | CREATE INDEX idx_transactions_shift_id ON public.transactions USING btree (shift_id)
 public     | transactions          | idx_transactions_status                         | CREATE INDEX idx_transactions_status ON public.transactions USING btree (status)
 public     | transactions          | idx_transactions_status_created                 | CREATE INDEX idx_transactions_status_created ON public.transactions USING btree (status, created_at DESC)
 public     | transactions          | idx_transactions_tenant_id                      | CREATE INDEX idx_transactions_tenant_id ON public.transactions USING btree (tenant_id)
 public     | transactions          | idx_transactions_tenant_outlet                  | CREATE INDEX idx_transactions_tenant_outlet ON public.transactions USING btree (tenant_id, outlet_id)
 public     | transactions          | idx_transactions_transaction_id                 | CREATE INDEX idx_transactions_transaction_id ON public.transactions USING btree (transaction_id)
 public     | transactions          | transactions_pkey                               | CREATE UNIQUE INDEX transactions_pkey ON public.transactions USING btree (id)
 public     | transactions          | transactions_transaction_id_key                 | CREATE UNIQUE INDEX transactions_transaction_id_key ON public.transactions USING btree (transaction_id)
 public     | user_role_assignments | idx_ura_outlet_id                               | CREATE INDEX idx_ura_outlet_id ON public.user_role_assignments USING btree (outlet_id)
 public     | user_role_assignments | idx_ura_tenant_id                               | CREATE INDEX idx_ura_tenant_id ON public.user_role_assignments USING btree (tenant_id)
 public     | user_role_assignments | idx_ura_unique_group_scope                      | CREATE UNIQUE INDEX idx_ura_unique_group_scope ON public.user_role_assignments USING btree (user_id, role_id, scope_type, outlet_group_id) WHERE (scope_type = 'OUTLET_GROUP'::text)
 public     | user_role_assignments | idx_ura_unique_outlet_scope                     | CREATE UNIQUE INDEX idx_ura_unique_outlet_scope ON public.user_role_assignments USING btree (user_id, role_id, scope_type, outlet_id) WHERE (scope_type = 'OUTLET'::text)
 public     | user_role_assignments | idx_ura_unique_tenant_scope                     | CREATE UNIQUE INDEX idx_ura_unique_tenant_scope ON public.user_role_assignments USING btree (user_id, role_id, scope_type) WHERE (scope_type = 'TENANT'::text)
 public     | user_role_assignments | idx_ura_user_id                                 | CREATE INDEX idx_ura_user_id ON public.user_role_assignments USING btree (user_id)
 public     | user_role_assignments | user_role_assignments_pkey                      | CREATE UNIQUE INDEX user_role_assignments_pkey ON public.user_role_assignments USING btree (id)
 public     | users                 | idx_users_email                                 | CREATE INDEX idx_users_email ON public.users USING btree (email)
 public     | users                 | idx_users_email_verify_token                    | CREATE INDEX idx_users_email_verify_token ON public.users USING btree (email_verify_token) WHERE (email_verify_token IS NOT NULL)
 public     | users                 | idx_users_is_suspended                          | CREATE INDEX idx_users_is_suspended ON public.users USING btree (is_suspended) WHERE (is_suspended = true)
 public     | users                 | idx_users_outlet_id                             | CREATE INDEX idx_users_outlet_id ON public.users USING btree (outlet_id)
 public     | users                 | idx_users_role                                  | CREATE INDEX idx_users_role ON public.users USING btree (role)
 public     | users                 | idx_users_tenant_id                             | CREATE INDEX idx_users_tenant_id ON public.users USING btree (tenant_id)
 public     | users                 | idx_users_trial_active                          | CREATE INDEX idx_users_trial_active ON public.users USING btree (is_trial, trial_ends_at) WHERE (is_trial = true)
 public     | users                 | users_email_key                                 | CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)
 public     | users                 | users_pkey                                      | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
 public     | wa_templates          | wa_templates_pkey                               | CREATE UNIQUE INDEX wa_templates_pkey ON public.wa_templates USING btree (id)
(163 rows)

